panel_id,source_group,path,exists,rows,date_start,date_end,unique_dates,entity_type,unique_entities,universe_overlap,universe_overlap_ratio,median_entities_per_date,min_dates,min_entity_count,min_universe_overlap_ratio,snapshot_source,archive_bound,research_panel_ready,production_panel_ready,status,failures,production_evidence_required,note
analyst_consensus_snapshot,analyst_expectations,/Users/jacklondon/Documents/study/lianghua/data/analyst_expectations/profit_forecast_em.parquet,True,2370,2026-06-08,2026-06-08,1,stock,2370,843.0,0.7025,2370.0,500,800,0.65,True,True,False,False,snapshot_only_not_historical,['unique_dates<500'],paid PIT consensus provider or daily WORM snapshots,current EastMoney consensus snapshot; not a historical PIT panel
analyst_revision_history,analyst_expectations,/Users/jacklondon/Documents/study/lianghua/data/analyst_expectations/analyst_ratings_cninfo.parquet,True,150376,2024-01-01,2026-05-29,630,stock,3976,1124.0,0.9367,113.0,500,900,0.8,False,True,True,False,research_ready_external_evidence_missing,[],external WORM/provider entitlement evidence,dated CNInfo rating/revision events with publish-date PIT semantics
northbound_stock_holding_history,flow_signals,/Users/jacklondon/Documents/study/lianghua/data/flow_signals/northbound_holdings.parquet,True,13001,2017-03-16,2024-08-16,1723,stock,8,5.0,0.0042,8.0,1000,600,0.5,False,True,False,False,insufficient_history_or_coverage,"['unique_entities<600', 'universe_overlap<0.50']",full-universe provider entitlement evidence,"true history exists for fetched names, but current file is sample-limited"
northbound_market_aggregate_history,flow_signals,/Users/jacklondon/Documents/study/lianghua/data/flow_signals/northbound_aggregate.parquet,True,2683,2014-11-17,2026-06-05,2683,market_aggregate,1,,,,1000,1,0.0,False,True,True,False,research_ready_external_evidence_missing,[],provider entitlement and archive attestation,"market-level aggregate only; useful as regime input, not stock alpha alone"
fund_flow_rank_snapshot,flow_signals,/Users/jacklondon/Documents/study/lianghua/data/flow_signals/fund_flow_ranks.parquet,True,10394,2026-06-08,2026-06-08,1,stock,3708,855.0,0.7125,3708.0,500,900,0.8,True,True,False,False,snapshot_only_not_historical,"['unique_dates<500', 'universe_overlap<0.80']",daily WORM snapshots or historical PIT fund-flow feed,rank endpoint is a current snapshot; daily archive must accumulate history
big_deal_order_flow_snapshot,flow_signals,/Users/jacklondon/Documents/study/lianghua/data/flow_signals/big_deal_current.parquet,True,4850,2026-06-08,2026-06-08,1,stock,571,184.0,0.1533,571.0,250,500,0.4,True,True,False,False,snapshot_only_not_historical,"['unique_dates<250', 'universe_overlap<0.40']",daily WORM snapshots or historical order-flow feed,big-deal endpoint is a current snapshot and must be archived daily
margin_short_daily_history,flow_signals,/Users/jacklondon/Documents/study/lianghua/data/flow_signals/margin_details.parquet,True,4053,2026-05-29,2026-05-29,1,stock,4053,1145.0,0.9542,1981.0,500,600,0.5,False,True,False,False,insufficient_history_or_coverage,['unique_dates<500'],exchange-backed margin/short provider evidence,current fetch covers only the configured margin date window
intraday_microstructure_history,intraday,/Users/jacklondon/Documents/study/lianghua/data/intraday/microstructure_features.parquet,True,129,2026-04-03,2026-06-08,43,stock,3,0.0,0.0,3.0,250,900,0.8,True,True,False,False,insufficient_history_or_coverage,"['unique_dates<250', 'unique_entities<900', 'universe_overlap<0.80']",historical minute feed or long daily WORM archive,Sina minute endpoint exposes a rolling window; current file is sample-limited
hedge_crisis_asset_history,hedge_assets,/Users/jacklondon/Documents/study/lianghua/data/hedge_assets/hedge_crisis_assets.parquet,True,7540,2024-01-02,2026-05-29,580,asset,13,,,13.0,500,10,0.0,False,True,True,False,research_ready_external_evidence_missing,[],"broker/exchange-backed tradability, rollover, margin and position evidence",research proxy history exists; live hedge execution evidence is absent
exchange_borrow_availability,borrow,/Users/jacklondon/Documents/study/lianghua/data/borrow/short_availability.parquet,False,0,,,0,stock,0,0.0,0.0,,250,600,0.5,False,False,False,False,missing,['missing_file'],broker/exchange-backed borrow availability feed,required for real market-neutral/short sleeve; no local provider file exists
